Table	Table description	Primary Key	Object Type
ORSB	ResGrpCod	ResGrpCod	292
RecordSet		300
Bridge		305
OITR	Internal Reconciliation	ReconNum	321
OPOS	POS Master Data	EquipNo	541
ODRF	Stock Transfer Draft	DocEntry	1179
OMSG	Messaging Service Settings	USERID	10000105
OBTN	Batch Numbers Master Data	AbsEntry	10000044
OSRN	Serial Numbers Master Data	AbsEntry	10000045
OIVK	IVL Vs OINM Keys	TransSeq	10000062
OIQR	Inventory Posting	DocEntry	10000071
OFYM	Financial Year Master	AbsId	10000073
OSEC	Sections	AbsId	10000074
OCSN	Certificate Series	AbsId	10000075
ONOA	Nature of Assessee	AbsId	10000077
RTYP	Document Type List	CODE	10000196
OUGP	UoM Group	UgpEntry	10000197
OUOM	UoM Master Data	UomEntry	10000199
OBFC	Bin Field Configuration	AbsEntry	10000203
OBAT	Bin Location Attribute	AbsEntry	10000204
OBSL	Warehouse Sublevel	AbsEntry	10000205
OBIN	Bin Location	AbsEntry	10000206
ODNF	DNF Code	AbsEntry	140000041
OUGR	Authorization Group	GroupId	231000000
OEGP	E-Mail Group	EmlGrpCode	234000004
OGPC	Government Payment Code	AbsId	243000001
OIQI	Inventory Opening Balance	DocEntry	310000001
OBTW	Batch Attributes in Location	AbsEntry	310000008
OLLF	Legal List Format	AbsEntry	410000005
OHET	Object: HR Employee Transfer	TransferID	480000001
OTCX	Tax Code Determination	DocEntry	540000005
OPQT	Purchase Quotation	DocEntry	540000006
ORCP	Recurring Transaction Template	AbsEntry	540000040
OCCT	Cost Center Type	CctCode	540000042
OACR	Accrual Type	Code	540000048
ONFM	Nota Fiscal Model	AbsEntry	540000056
OBFI	Brazil Fuel Indexer	ID	540000067
OBBI	Brazil Beverage Indexer	ID	540000068
OCPT	Cockpit Main Table	AbsEntry	1210000000
OWTQ	Inventory Transfer Request	DocEntry	1250000001
OOAT	Blanket Agreement	AbsID	1250000025
OKPI	Key Performance Indicator Package	AbsEntry	1320000000
OTGG	Target Group	TargetCode	1320000002
OCPN	Campaign	CpnNo	1320000012
OROC	Retorno Operation Codes	AbsEntry	1320000028
OPSC	Product Source Code	Code	1320000039
ODTP	Fixed Assets Depreciation Types	Code	1470000000
OADT	Fixed Assets Account Determination	Code	1470000002
ODPA	Fixed Asset Depreciation Areas	Code	1470000003
ODPP	Depreciation Type Pools	Code	1470000004
OACS	Asset Classes	Code	1470000032
OAGS	Asset Groups	Code	1470000046
ODMC	G/L Account Determination Criteria – Inventory	DmcId	1470000048
OACQ	Capitalization	DocEntry	1470000049
OGAR	G/L Account Advanced Rules	AbsEntry	1470000057
OACD	Credit Memo	DocEntry	1470000060
OBCD	Bar Code Master Data	BcdEntry	1470000062
OINC	Inventory Counting	DocEntry	1470000065
OEDG	Discount Groups	AbsEntry	1470000077
OCCS	Cycle Count Determination	WhsCode	1470000092
OPRQ	Purchase Request	DocEntry	1470000113
OWLS	Workflow – Task Details	TaskID	1620000000
